1
42 468
0 40 170
0 12 359
0 20 706
1 13 828
1 29 996
0 39 437
1 30 903
1 40 383
1 26 719
1 29 727
1 30 870
0 5 300
1 24 704
1 32 334
1 2 142
1 29 869
1 8 663
1 3 860
1 39 530
0 10 36
0 36 289
0 10 943
0 10 447
1 14 730
0 20 7
1 33 549
1 23 85
0 24 841
0 26 932
0 18 440
0 25 538
0 32 83
1 35 834
1 19 659
0 18 978
0 5 387
1 17 925
0 12 830
1 33 98
0 4 291
1 30 356
1 9 575
1 40 351
0 15 725
0 28 108
1 31 338
1 23 754
1 35 910
1 14 222
0 38 947
0 10 414
0 18 592
0 17 411
1 30 538
0 15 596
1 32 351
1 8 375
0 18 22
0 15 669
0 7 735
1 25 419
0 12 789
1 5 729
1 36 484
1 27 311
1 7 515
1 14 936
1 20 250
1 14 799
1 8 9
0 17 990
0 3 486
1 21 524
1 40 504
0 0 459
0 0 797
0 35 590
0 37 158
0 18 539
0 32 180
0 5 959
1 33 889
0 3 203
0 38 56
0 8 363
0 17 434
1 24 845
0 41 999
0 3 22
1 29 477
0 29 76
0 38 511
1 31 862
0 3 790
1 1 3
1 32 286
0 10 618
1 4 933
1 12 722
1 26 330
0 6 426
1 32 550
1 20 146
0 4 754
1 33 280
0 13 530
1 7 867
1 25 196
1 4 287
1 2 283
1 30 115
1 26 672
0 41 314
1 21 54
0 14 833
1 29 757
1 28 647
0 19 145
0 20 130
1 33 451
1 8 45
1 0 440
1 32 155
0 41 650
0 39 475
0 26 19
1 35 959
1 38 626
1 4 315
0 18 875
0 41 834
0 11 298
0 29 774
0 41 669
0 41 103
0 23 628
0 25 528
1 31 925
1 26 62
1 7 433
1 41 726
1 8 143
0 38 65
0 35 361
1 20 271
0 25 834
1 14 897
1 19 551
0 2 696
0 5 126
0 22 659
0 25 467
0 39 852
0 10 465
1 10 801
1 22 927
0 11 171
1 0 228
1 36 165
1 28 87
1 1 578
0 21 628
1 8 424
0 14 963
1 26 738
1 31 526
0 28 203
0 32 327
1 27 412
1 27 521
0 14 189
1 26 852
0 11 901
1 16 579
1 29 478
0 18 440
1 34 358
0 9 109
1 19 802
0 12 429
1 0 406
0 31 705
1 16 73
0 7 486
0 32 627
1 0 358
1 3 870
1 2 23
1 32 718
0 35 42
1 21 230
1 7 933
0 35 54
0 14 735
0 4 458
1 20 964
1 5 912
1 29 849
1 2 224
0 24 512
1 15 460
1 29 871
0 14 206
1 36 399
1 21 194
0 41 535
0 19 177
1 32 549
1 6 414
1 31 856
0 38 612
1 12 679
0 5 297
1 2 314
1 38 819
0 9 933
0 35 170
1 6 489
1 22 498
1 34 146
1 36 652
0 36 259
1 23 193
1 22 182
1 7 776
0 18 998
1 30 562
1 41 542
1 34 814
0 21 78
1 31 214
0 36 602
0 9 671
0 13 85
1 12 499
0 29 848
0 41 222
1 36 364
0 37 490
0 26 543
1 39 592
0 24 233
0 5 976
1 9 423
0 33 585
0 31 865
1 29 546
0 32 679
1 16 520
1 23 945
1 18 246
0 10 871
1 15 133
0 20 88
0 27 902
1 17 528
0 5 16
1 28 544
1 30 944
1 23 464
1 19 589
0 20 61
1 36 955
0 34 691
1 33 431
0 34 68
0 35 36
0 23 39
1 9 225
0 15 360
1 28 945
1 8 727
1 25 356
1 37 497
0 23 965
0 11 914
0 32 949
0 14 607
1 27 405
